date,pm10,pm2_5,carbon_monoxide
2024-10-01 00:00:00+00:00,42.0,28.1,354.0
2024-10-01 01:00:00+00:00,36.6,24.1,386.0
2024-10-01 02:00:00+00:00,37.5,24.8,431.0
2024-10-01 03:00:00+00:00,40.6,27.1,482.0
2024-10-01 04:00:00+00:00,44.1,29.6,540.0
2024-10-01 05:00:00+00:00,47.4,32.0,602.0
2024-10-01 06:00:00+00:00,51.1,34.9,655.0
2024-10-01 07:00:00+00:00,55.6,38.2,697.0
2024-10-01 08:00:00+00:00,61.7,42.4,730.0
2024-10-01 09:00:00+00:00,63.6,43.7,742.0
2024-10-01 10:00:00+00:00,62.6,43.0,717.0
2024-10-01 11:00:00+00:00,60.3,41.2,672.0
2024-10-01 12:00:00+00:00,42.3,28.3,510.0
2024-10-01 13:00:00+00:00,41.0,27.5,559.0
2024-10-01 14:00:00+00:00,43.1,29.0,623.0
2024-10-01 15:00:00+00:00,49.7,33.6,639.0
2024-10-01 16:00:00+00:00,45.9,30.4,564.0
2024-10-01 17:00:00+00:00,37.3,23.7,442.0
2024-10-01 18:00:00+00:00,33.1,20.5,337.0
2024-10-01 19:00:00+00:00,28.5,17.3,271.0
2024-10-01 20:00:00+00:00,24.0,14.2,223.0
2024-10-01 21:00:00+00:00,21.9,12.8,193.0
2024-10-01 22:00:00+00:00,21.2,12.5,183.0
2024-10-01 23:00:00+00:00,20.5,12.2,191.0
2024-10-02 00:00:00+00:00,22.6,12.8,189.0
2024-10-02 01:00:00+00:00,25.8,15.3,237.0
2024-10-02 02:00:00+00:00,30.9,19.0,303.0
2024-10-02 03:00:00+00:00,36.2,23.0,354.0
2024-10-02 04:00:00+00:00,37.5,24.0,369.0
2024-10-02 05:00:00+00:00,36.8,23.6,368.0
2024-10-02 06:00:00+00:00,41.4,26.7,378.0
2024-10-02 07:00:00+00:00,45.3,29.2,416.0
2024-10-02 08:00:00+00:00,46.2,30.0,465.0
2024-10-02 09:00:00+00:00,44.9,29.4,503.0
2024-10-02 10:00:00+00:00,43.3,28.5,514.0
2024-10-02 11:00:00+00:00,41.4,27.5,515.0
2024-10-02 12:00:00+00:00,38.2,25.2,516.0
2024-10-02 13:00:00+00:00,35.0,23.4,566.0
2024-10-02 14:00:00+00:00,33.4,22.6,632.0
2024-10-02 15:00:00+00:00,37.3,25.7,661.0
2024-10-02 16:00:00+00:00,43.3,29.5,620.0
2024-10-02 17:00:00+00:00,48.1,31.7,542.0
2024-10-02 18:00:00+00:00,48.4,31.2,466.0
2024-10-02 19:00:00+00:00,46.6,29.5,404.0
2024-10-02 20:00:00+00:00,43.0,26.5,344.0
2024-10-02 21:00:00+00:00,37.4,22.5,298.0
2024-10-02 22:00:00+00:00,31.5,18.6,261.0
2024-10-02 23:00:00+00:00,26.7,15.7,236.0
2024-10-03 00:00:00+00:00,33.4,18.9,245.0
2024-10-03 01:00:00+00:00,30.9,17.9,306.0
2024-10-03 02:00:00+00:00,33.5,20.5,394.0
2024-10-03 03:00:00+00:00,38.5,24.7,479.0
2024-10-03 04:00:00+00:00,43.9,28.8,558.0
2024-10-03 05:00:00+00:00,49.4,32.7,634.0
2024-10-03 06:00:00+00:00,51.7,34.6,691.0
2024-10-03 07:00:00+00:00,53.1,36.0,722.0
2024-10-03 08:00:00+00:00,55.5,37.7,734.0
2024-10-03 09:00:00+00:00,56.9,38.9,732.0
2024-10-03 10:00:00+00:00,57.3,39.1,709.0
2024-10-03 11:00:00+00:00,56.3,38.3,673.0
2024-10-03 12:00:00+00:00,42.1,28.2,496.0
2024-10-03 13:00:00+00:00,41.3,27.5,542.0
2024-10-03 14:00:00+00:00,42.0,28.1,602.0
2024-10-03 15:00:00+00:00,46.1,31.2,629.0
2024-10-03 16:00:00+00:00,52.0,35.0,594.0
2024-10-03 17:00:00+00:00,52.6,34.2,525.0
2024-10-03 18:00:00+00:00,54.4,34.8,462.0
2024-10-03 19:00:00+00:00,54.6,34.6,417.0
2024-10-03 20:00:00+00:00,53.7,33.5,378.0
2024-10-03 21:00:00+00:00,52.2,32.4,344.0
2024-10-03 22:00:00+00:00,49.2,30.4,306.0
2024-10-03 23:00:00+00:00,46.1,28.3,273.0
2024-10-04 00:00:00+00:00,53.6,33.6,284.0
2024-10-04 01:00:00+00:00,49.2,31.2,317.0
2024-10-04 02:00:00+00:00,48.3,31.4,364.0
2024-10-04 03:00:00+00:00,48.3,32.0,421.0
2024-10-04 04:00:00+00:00,52.9,35.4,491.0
2024-10-04 05:00:00+00:00,58.7,39.7,569.0
2024-10-04 06:00:00+00:00,63.1,43.0,636.0
2024-10-04 07:00:00+00:00,65.4,44.7,684.0
2024-10-04 08:00:00+00:00,66.8,45.8,720.0
2024-10-04 09:00:00+00:00,70.5,48.3,745.0
2024-10-04 10:00:00+00:00,73.8,50.5,752.0
2024-10-04 11:00:00+00:00,73.1,49.9,747.0
2024-10-04 12:00:00+00:00,45.9,31.2,562.0
2024-10-04 13:00:00+00:00,44.0,29.8,610.0
2024-10-04 14:00:00+00:00,43.4,29.3,674.0
2024-10-04 15:00:00+00:00,51.1,34.8,700.0
2024-10-04 16:00:00+00:00,50.2,33.6,655.0
2024-10-04 17:00:00+00:00,49.9,33.1,572.0
2024-10-04 18:00:00+00:00,48.8,32.0,503.0
2024-10-04 19:00:00+00:00,48.8,31.8,468.0
2024-10-04 20:00:00+00:00,50.6,32.9,446.0
2024-10-04 21:00:00+00:00,52.9,34.2,427.0
2024-10-04 22:00:00+00:00,52.9,34.1,401.0
2024-10-04 23:00:00+00:00,51.0,32.8,377.0
2024-10-05 00:00:00+00:00,43.7,27.7,341.0
2024-10-05 01:00:00+00:00,42.0,26.4,356.0
2024-10-05 02:00:00+00:00,41.6,26.4,378.0
2024-10-05 03:00:00+00:00,41.0,26.3,412.0
2024-10-05 04:00:00+00:00,44.2,28.8,460.0
2024-10-05 05:00:00+00:00,48.2,32.2,520.0
2024-10-05 06:00:00+00:00,54.0,36.4,581.0
2024-10-05 07:00:00+00:00,63.1,42.7,649.0
2024-10-05 08:00:00+00:00,70.3,48.0,720.0
2024-10-05 09:00:00+00:00,74.5,51.2,769.0
