date,pm10,pm2_5,carbon_monoxide
2024-04-01 00:00:00+00:00,16.2,9.3,178.0
2024-04-01 01:00:00+00:00,16.4,9.4,208.0
2024-04-01 02:00:00+00:00,16.6,10.1,250.0
2024-04-01 03:00:00+00:00,20.2,12.5,295.0
2024-04-01 04:00:00+00:00,24.2,15.4,343.0
2024-04-01 05:00:00+00:00,27.2,17.6,393.0
2024-04-01 06:00:00+00:00,29.8,19.5,432.0
2024-04-01 07:00:00+00:00,32.1,21.0,457.0
2024-04-01 08:00:00+00:00,31.1,20.3,472.0
2024-04-01 09:00:00+00:00,29.9,19.5,474.0
2024-04-01 10:00:00+00:00,27.9,18.2,457.0
2024-04-01 11:00:00+00:00,25.3,16.3,429.0
2024-04-01 12:00:00+00:00,31.1,21.1,585.0
2024-04-01 13:00:00+00:00,27.2,18.3,609.0
2024-04-01 14:00:00+00:00,25.8,17.3,637.0
2024-04-01 15:00:00+00:00,29.9,20.1,620.0
2024-04-01 16:00:00+00:00,31.1,18.8,514.0
2024-04-01 17:00:00+00:00,27.9,15.3,363.0
2024-04-01 18:00:00+00:00,25.1,13.2,248.0
2024-04-01 19:00:00+00:00,23.5,12.1,209.0
2024-04-01 20:00:00+00:00,22.6,11.6,206.0
2024-04-01 21:00:00+00:00,20.8,10.4,205.0
2024-04-01 22:00:00+00:00,18.5,8.9,191.0
2024-04-01 23:00:00+00:00,16.6,7.8,178.0
2024-04-02 00:00:00+00:00,15.3,7.2,199.0
2024-04-02 01:00:00+00:00,13.7,6.8,221.0
2024-04-02 02:00:00+00:00,14.6,8.1,252.0
2024-04-02 03:00:00+00:00,16.8,9.8,291.0
2024-04-02 04:00:00+00:00,19.3,11.6,338.0
2024-04-02 05:00:00+00:00,22.5,14.1,392.0
2024-04-02 06:00:00+00:00,26.4,17.0,444.0
2024-04-02 07:00:00+00:00,31.3,20.5,502.0
2024-04-02 08:00:00+00:00,34.9,23.2,558.0
2024-04-02 09:00:00+00:00,34.1,22.9,583.0
2024-04-02 10:00:00+00:00,32.0,21.4,552.0
2024-04-02 11:00:00+00:00,30.0,20.0,490.0
2024-04-02 12:00:00+00:00,24.9,16.8,514.0
2024-04-02 13:00:00+00:00,22.0,14.8,508.0
2024-04-02 14:00:00+00:00,20.8,14.1,498.0
2024-04-02 15:00:00+00:00,24.7,16.8,477.0
2024-04-02 16:00:00+00:00,30.3,20.2,437.0
2024-04-02 17:00:00+00:00,33.8,21.8,386.0
2024-04-02 18:00:00+00:00,35.2,22.7,346.0
2024-04-02 19:00:00+00:00,36.2,23.1,327.0
2024-04-02 20:00:00+00:00,36.6,22.9,317.0
2024-04-02 21:00:00+00:00,35.3,21.8,306.0
2024-04-02 22:00:00+00:00,32.6,19.7,282.0
2024-04-02 23:00:00+00:00,28.6,17.0,256.0
2024-04-03 00:00:00+00:00,16.7,10.0,256.0
2024-04-03 01:00:00+00:00,15.9,9.9,281.0
2024-04-03 02:00:00+00:00,19.3,12.5,320.0
2024-04-03 03:00:00+00:00,25.0,16.5,375.0
2024-04-03 04:00:00+00:00,31.7,21.2,457.0
2024-04-03 05:00:00+00:00,37.6,25.6,555.0
2024-04-03 06:00:00+00:00,43.5,29.9,640.0
2024-04-03 07:00:00+00:00,50.5,34.9,709.0
2024-04-03 08:00:00+00:00,53.2,36.7,765.0
2024-04-03 09:00:00+00:00,51.6,35.6,789.0
2024-04-03 10:00:00+00:00,47.5,32.8,760.0
2024-04-03 11:00:00+00:00,41.6,28.8,698.0
2024-04-03 12:00:00+00:00,33.1,22.9,656.0
2024-04-03 13:00:00+00:00,27.4,19.0,666.0
2024-04-03 14:00:00+00:00,24.4,16.9,678.0
2024-04-03 15:00:00+00:00,28.2,19.6,666.0
2024-04-03 16:00:00+00:00,35.7,24.4,610.0
2024-04-03 17:00:00+00:00,42.3,28.5,531.0
2024-04-03 18:00:00+00:00,46.1,31.1,467.0
2024-04-03 19:00:00+00:00,47.6,32.0,438.0
2024-04-03 20:00:00+00:00,47.4,32.0,423.0
2024-04-03 21:00:00+00:00,45.3,30.7,403.0
2024-04-03 22:00:00+00:00,41.1,27.8,362.0
2024-04-03 23:00:00+00:00,35.3,23.5,316.0
2024-04-04 00:00:00+00:00,21.1,14.0,266.0
2024-04-04 01:00:00+00:00,17.7,11.4,279.0
2024-04-04 02:00:00+00:00,16.9,11.1,298.0
2024-04-04 03:00:00+00:00,18.7,12.6,321.0
2024-04-04 04:00:00+00:00,20.0,13.6,355.0
2024-04-04 05:00:00+00:00,23.6,16.1,394.0
2024-04-04 06:00:00+00:00,26.7,18.4,414.0
2024-04-04 07:00:00+00:00,27.3,19.0,405.0
2024-04-04 08:00:00+00:00,25.9,18.0,379.0
2024-04-04 09:00:00+00:00,23.3,16.2,346.0
2024-04-04 10:00:00+00:00,18.6,12.7,305.0
2024-04-04 11:00:00+00:00,17.1,11.6,257.0
2024-04-04 12:00:00+00:00,23.4,16.1,323.0
2024-04-04 13:00:00+00:00,20.5,13.9,312.0
2024-04-04 14:00:00+00:00,20.7,13.9,296.0
2024-04-04 15:00:00+00:00,19.4,12.7,279.0
2024-04-04 16:00:00+00:00,20.5,13.3,261.0
2024-04-04 17:00:00+00:00,20.0,12.5,241.0
2024-04-04 18:00:00+00:00,18.5,11.0,222.0
2024-04-04 19:00:00+00:00,16.1,9.5,202.0
2024-04-04 20:00:00+00:00,13.9,8.3,182.0
2024-04-04 21:00:00+00:00,9.9,6.1,168.0
2024-04-04 22:00:00+00:00,8.9,5.3,164.0
2024-04-04 23:00:00+00:00,11.6,6.7,166.0
2024-04-05 00:00:00+00:00,20.8,12.0,165.0
2024-04-05 01:00:00+00:00,17.3,10.0,178.0
2024-04-05 02:00:00+00:00,12.0,7.0,197.0
2024-04-05 03:00:00+00:00,9.8,6.0,212.0
2024-04-05 04:00:00+00:00,10.3,6.3,223.0
2024-04-05 05:00:00+00:00,11.6,7.1,232.0
2024-04-05 06:00:00+00:00,13.2,8.0,233.0
2024-04-05 07:00:00+00:00,13.8,8.2,222.0
2024-04-05 08:00:00+00:00,15.0,8.8,204.0
2024-04-05 09:00:00+00:00,16.3,9.3,191.0
2024-04-05 10:00:00+00:00,15.0,8.5,189.0
2024-04-05 11:00:00+00:00,15.8,9.1,193.0
2024-04-05 12:00:00+00:00,19.0,11.1,214.0
2024-04-05 13:00:00+00:00,22.4,12.7,219.0
2024-04-05 14:00:00+00:00,23.8,13.2,225.0
2024-04-05 15:00:00+00:00,27.4,14.9,227.0
2024-04-05 16:00:00+00:00,24.2,13.2,222.0
2024-04-05 17:00:00+00:00,21.9,12.1,213.0
2024-04-05 18:00:00+00:00,20.4,11.3,204.0
2024-04-05 19:00:00+00:00,17.1,9.6,196.0
2024-04-05 20:00:00+00:00,14.1,8.0,188.0
2024-04-05 21:00:00+00:00,11.0,6.3,181.0
2024-04-05 22:00:00+00:00,8.3,4.8,175.0
2024-04-05 23:00:00+00:00,7.7,4.5,171.0
2024-04-06 00:00:00+00:00,8.0,4.7,172.0
2024-04-06 01:00:00+00:00,8.4,4.9,178.0
2024-04-06 02:00:00+00:00,7.7,4.6,187.0
2024-04-06 03:00:00+00:00,7.3,4.6,199.0
2024-04-06 04:00:00+00:00,8.0,5.1,212.0
2024-04-06 05:00:00+00:00,9.0,5.8,228.0
2024-04-06 06:00:00+00:00,10.8,7.1,247.0
2024-04-06 07:00:00+00:00,12.7,8.4,272.0
2024-04-06 08:00:00+00:00,14.7,9.7,300.0
2024-04-06 09:00:00+00:00,16.1,10.7,324.0
2024-04-06 10:00:00+00:00,17.1,11.4,339.0
2024-04-06 11:00:00+00:00,18.0,11.9,349.0
2024-04-06 12:00:00+00:00,21.7,14.5,406.0
2024-04-06 13:00:00+00:00,21.3,14.1,383.0
2024-04-06 14:00:00+00:00,21.2,13.8,349.0
2024-04-06 15:00:00+00:00,22.1,14.1,315.0
2024-04-06 16:00:00+00:00,21.3,13.4,280.0
2024-04-06 17:00:00+00:00,20.0,12.0,244.0
2024-04-06 18:00:00+00:00,16.7,9.7,218.0
2024-04-06 19:00:00+00:00,16.0,9.3,210.0
2024-04-06 20:00:00+00:00,16.2,9.5,212.0
2024-04-06 21:00:00+00:00,16.5,9.8,214.0
2024-04-06 22:00:00+00:00,16.9,10.2,209.0
2024-04-06 23:00:00+00:00,16.5,10.0,205.0
2024-04-07 00:00:00+00:00,19.5,11.1,199.0
2024-04-07 01:00:00+00:00,20.1,11.5,221.0
2024-04-07 02:00:00+00:00,21.3,12.6,255.0
2024-04-07 03:00:00+00:00,25.7,15.9,305.0
2024-04-07 04:00:00+00:00,31.9,20.5,380.0
2024-04-07 05:00:00+00:00,37.6,24.6,470.0
2024-04-07 06:00:00+00:00,43.4,28.8,551.0
2024-04-07 07:00:00+00:00,50.1,33.3,620.0
2024-04-07 08:00:00+00:00,53.9,36.0,680.0
2024-04-07 09:00:00+00:00,53.4,35.9,711.0
2024-04-07 10:00:00+00:00,50.8,34.0,695.0
2024-04-07 11:00:00+00:00,45.1,30.3,650.0
2024-04-07 12:00:00+00:00,38.5,25.8,630.0
2024-04-07 13:00:00+00:00,32.5,21.7,636.0
2024-04-07 14:00:00+00:00,28.9,19.2,639.0
2024-04-07 15:00:00+00:00,32.9,21.9,610.0
2024-04-07 16:00:00+00:00,38.0,23.3,518.0
2024-04-07 17:00:00+00:00,37.7,22.8,395.0
2024-04-07 18:00:00+00:00,34.9,21.5,300.0
2024-04-07 19:00:00+00:00,32.6,20.3,265.0
2024-04-07 20:00:00+00:00,30.6,19.0,259.0
2024-04-07 21:00:00+00:00,28.5,17.4,253.0
2024-04-07 22:00:00+00:00,26.0,15.0,228.0
2024-04-07 23:00:00+00:00,23.4,12.6,201.0
2024-04-08 00:00:00+00:00,21.0,10.9,210.0
2024-04-08 01:00:00+00:00,19.9,9.3,250.0
2024-04-08 02:00:00+00:00,20.4,10.5,310.0
2024-04-08 03:00:00+00:00,29.1,17.7,384.0
2024-04-08 04:00:00+00:00,39.3,25.0,488.0
2024-04-08 05:00:00+00:00,49.6,32.2,607.0
2024-04-08 06:00:00+00:00,54.8,36.0,684.0
2024-04-08 07:00:00+00:00,55.9,36.7,691.0
2024-04-08 08:00:00+00:00,54.1,35.6,657.0
2024-04-08 09:00:00+00:00,49.2,32.2,615.0
2024-04-08 10:00:00+00:00,44.2,28.9,567.0
2024-04-08 11:00:00+00:00,38.9,25.1,512.0
2024-04-08 12:00:00+00:00,30.5,18.9,419.0
2024-04-08 13:00:00+00:00,27.1,16.8,442.0
2024-04-08 14:00:00+00:00,25.0,15.8,471.0
2024-04-08 15:00:00+00:00,30.3,18.8,469.0
2024-04-08 16:00:00+00:00,33.6,17.7,410.0
2024-04-08 17:00:00+00:00,29.9,15.4,321.0
2024-04-08 18:00:00+00:00,25.9,13.5,248.0
2024-04-08 19:00:00+00:00,23.3,11.9,209.0
2024-04-08 20:00:00+00:00,23.3,11.2,187.0
2024-04-08 21:00:00+00:00,23.9,10.5,174.0
2024-04-08 22:00:00+00:00,22.3,9.6,170.0
2024-04-08 23:00:00+00:00,19.0,8.6,176.0
2024-04-09 00:00:00+00:00,15.8,7.4,209.0
2024-04-09 01:00:00+00:00,14.7,7.0,225.0
2024-04-09 02:00:00+00:00,13.7,7.7,249.0
2024-04-09 03:00:00+00:00,14.3,8.8,275.0
2024-04-09 04:00:00+00:00,15.8,10.1,305.0
2024-04-09 05:00:00+00:00,17.6,11.4,337.0
2024-04-09 06:00:00+00:00,19.0,12.3,360.0
2024-04-09 07:00:00+00:00,19.7,12.8,370.0
2024-04-09 08:00:00+00:00,19.9,13.2,371.0
2024-04-09 09:00:00+00:00,19.4,13.0,364.0
2024-04-09 10:00:00+00:00,18.2,12.3,346.0
2024-04-09 11:00:00+00:00,17.5,11.8,320.0
2024-04-09 12:00:00+00:00,19.0,13.0,316.0
2024-04-09 13:00:00+00:00,15.6,11.1,310.0
2024-04-09 14:00:00+00:00,13.4,9.8,301.0
2024-04-09 15:00:00+00:00,14.7,10.7,287.0
2024-04-09 16:00:00+00:00,19.1,13.4,264.0
2024-04-09 17:00:00+00:00,21.0,13.9,235.0
2024-04-09 18:00:00+00:00,21.1,13.3,210.0
2024-04-09 19:00:00+00:00,22.2,13.2,192.0
2024-04-09 20:00:00+00:00,23.3,13.1,178.0
2024-04-09 21:00:00+00:00,24.6,13.2,170.0
2024-04-09 22:00:00+00:00,25.2,13.2,167.0
2024-04-09 23:00:00+00:00,24.8,13.2,169.0
2024-04-10 00:00:00+00:00,18.6,11.1,215.0
2024-04-10 01:00:00+00:00,16.0,10.0,230.0
2024-04-10 02:00:00+00:00,16.5,10.7,255.0
2024-04-10 03:00:00+00:00,18.5,12.3,295.0
2024-04-10 04:00:00+00:00,21.9,14.9,362.0
2024-04-10 05:00:00+00:00,26.5,18.2,445.0
2024-04-10 06:00:00+00:00,30.9,21.3,521.0
2024-04-10 07:00:00+00:00,36.8,25.3,588.0
2024-04-10 08:00:00+00:00,39.6,27.3,648.0
2024-04-10 09:00:00+00:00,38.5,26.5,677.0
2024-04-10 10:00:00+00:00,35.0,24.2,654.0
2024-04-10 11:00:00+00:00,29.8,20.8,602.0
2024-04-10 12:00:00+00:00,22.6,15.7,569.0
2024-04-10 13:00:00+00:00,18.3,12.6,568.0
2024-04-10 14:00:00+00:00,16.8,11.6,563.0
2024-04-10 15:00:00+00:00,21.3,14.6,538.0
2024-04-10 16:00:00+00:00,27.1,17.8,474.0
2024-04-10 17:00:00+00:00,27.5,17.2,390.0
2024-04-10 18:00:00+00:00,28.8,18.2,325.0
2024-04-10 19:00:00+00:00,29.5,18.7,299.0
2024-04-10 20:00:00+00:00,30.3,19.4,293.0
2024-04-10 21:00:00+00:00,29.7,19.2,288.0
2024-04-10 22:00:00+00:00,28.2,18.2,272.0
2024-04-10 23:00:00+00:00,26.6,17.2,258.0
2024-04-11 00:00:00+00:00,20.6,13.6,259.0
2024-04-11 01:00:00+00:00,18.9,12.5,281.0
2024-04-11 02:00:00+00:00,20.5,13.6,314.0
2024-04-11 03:00:00+00:00,25.1,16.6,351.0
2024-04-11 04:00:00+00:00,30.6,20.4,388.0
2024-04-11 05:00:00+00:00,33.9,22.6,431.0
2024-04-11 06:00:00+00:00,38.4,25.8,486.0
2024-04-11 07:00:00+00:00,47.8,32.5,574.0
2024-04-11 08:00:00+00:00,54.2,37.5,675.0
2024-04-11 09:00:00+00:00,56.0,38.9,738.0
2024-04-11 10:00:00+00:00,53.8,37.4,728.0
2024-04-11 11:00:00+00:00,48.8,33.9,680.0
2024-04-11 12:00:00+00:00,43.8,30.3,642.0
2024-04-11 13:00:00+00:00,38.4,26.5,658.0
2024-04-11 14:00:00+00:00,34.3,23.7,678.0
2024-04-11 15:00:00+00:00,37.1,25.7,670.0
2024-04-11 16:00:00+00:00,45.2,30.0,612.0
2024-04-11 17:00:00+00:00,46.6,29.9,528.0
2024-04-11 18:00:00+00:00,47.0,29.8,454.0
2024-04-11 19:00:00+00:00,45.8,29.3,407.0
2024-04-11 20:00:00+00:00,43.3,27.8,372.0
2024-04-11 21:00:00+00:00,39.5,25.1,337.0
2024-04-11 22:00:00+00:00,34.1,21.4,294.0
2024-04-11 23:00:00+00:00,29.3,18.2,251.0
2024-04-12 00:00:00+00:00,25.9,14.9,207.0
2024-04-12 01:00:00+00:00,22.8,13.3,238.0
2024-04-12 02:00:00+00:00,23.5,14.2,282.0
2024-04-12 03:00:00+00:00,28.4,17.5,322.0
2024-04-12 04:00:00+00:00,33.4,20.7,353.0
2024-04-12 05:00:00+00:00,35.9,22.1,380.0
2024-04-12 06:00:00+00:00,38.1,24.0,401.0
2024-04-12 07:00:00+00:00,38.1,24.3,411.0
2024-04-12 08:00:00+00:00,39.5,25.8,415.0
2024-04-12 09:00:00+00:00,41.6,27.4,424.0
2024-04-12 10:00:00+00:00,44.2,29.5,443.0
2024-04-12 11:00:00+00:00,46.8,31.3,467.0
