date,pm10,pm2_5,carbon_monoxide
2024-07-01 00:00:00+00:00,12.3,7.6,119.0
2024-07-01 01:00:00+00:00,13.0,7.9,132.0
2024-07-01 02:00:00+00:00,14.0,8.7,153.0
2024-07-01 03:00:00+00:00,16.2,10.3,187.0
2024-07-01 04:00:00+00:00,21.0,13.8,244.0
2024-07-01 05:00:00+00:00,25.1,16.6,314.0
2024-07-01 06:00:00+00:00,31.4,21.1,368.0
2024-07-01 07:00:00+00:00,35.0,23.6,394.0
2024-07-01 08:00:00+00:00,36.6,24.8,404.0
2024-07-01 09:00:00+00:00,37.3,25.2,408.0
2024-07-01 10:00:00+00:00,37.6,25.4,408.0
2024-07-01 11:00:00+00:00,38.0,25.6,404.0
2024-07-01 12:00:00+00:00,40.0,27.0,399.0
2024-07-01 13:00:00+00:00,43.1,29.0,398.0
2024-07-01 14:00:00+00:00,45.9,30.7,395.0
2024-07-01 15:00:00+00:00,49.4,32.5,380.0
2024-07-01 16:00:00+00:00,44.1,28.8,342.0
2024-07-01 17:00:00+00:00,39.8,26.0,291.0
2024-07-01 18:00:00+00:00,36.6,23.9,249.0
2024-07-01 19:00:00+00:00,34.6,22.5,224.0
2024-07-01 20:00:00+00:00,32.5,21.0,208.0
2024-07-01 21:00:00+00:00,30.7,20.0,198.0
2024-07-01 22:00:00+00:00,30.4,19.8,192.0
2024-07-01 23:00:00+00:00,31.4,20.5,192.0
2024-07-02 00:00:00+00:00,34.2,22.3,208.0
2024-07-02 01:00:00+00:00,33.1,21.4,211.0
2024-07-02 02:00:00+00:00,31.5,20.4,216.0
2024-07-02 03:00:00+00:00,30.2,19.4,229.0
2024-07-02 04:00:00+00:00,31.0,20.3,256.0
2024-07-02 05:00:00+00:00,33.2,21.9,291.0
2024-07-02 06:00:00+00:00,37.3,24.9,325.0
2024-07-02 07:00:00+00:00,39.9,26.9,355.0
2024-07-02 08:00:00+00:00,41.9,28.5,383.0
2024-07-02 09:00:00+00:00,42.6,29.2,405.0
2024-07-02 10:00:00+00:00,42.8,29.3,419.0
2024-07-02 11:00:00+00:00,42.8,29.5,427.0
2024-07-02 12:00:00+00:00,37.0,25.2,343.0
2024-07-02 13:00:00+00:00,36.6,25.0,327.0
2024-07-02 14:00:00+00:00,36.6,25.0,305.0
2024-07-02 15:00:00+00:00,35.5,23.4,285.0
2024-07-02 16:00:00+00:00,37.7,24.4,270.0
2024-07-02 17:00:00+00:00,37.6,24.3,258.0
2024-07-02 18:00:00+00:00,36.3,23.3,243.0
2024-07-02 19:00:00+00:00,34.3,21.9,223.0
2024-07-02 20:00:00+00:00,32.4,20.6,202.0
2024-07-02 21:00:00+00:00,30.2,19.3,184.0
2024-07-02 22:00:00+00:00,27.5,17.6,170.0
2024-07-02 23:00:00+00:00,25.7,16.4,160.0
2024-07-03 00:00:00+00:00,23.7,15.3,181.0
2024-07-03 01:00:00+00:00,22.5,14.4,182.0
2024-07-03 02:00:00+00:00,21.5,13.8,185.0
2024-07-03 03:00:00+00:00,21.5,13.7,196.0
2024-07-03 04:00:00+00:00,23.5,15.0,222.0
2024-07-03 05:00:00+00:00,27.2,17.5,256.0
2024-07-03 06:00:00+00:00,31.8,20.7,288.0
2024-07-03 07:00:00+00:00,37.5,24.6,318.0
2024-07-03 08:00:00+00:00,40.3,26.4,345.0
2024-07-03 09:00:00+00:00,41.4,27.2,362.0
2024-07-03 10:00:00+00:00,40.5,26.5,361.0
2024-07-03 11:00:00+00:00,38.4,25.1,349.0
2024-07-03 12:00:00+00:00,34.7,22.4,323.0
2024-07-03 13:00:00+00:00,32.9,21.0,303.0
2024-07-03 14:00:00+00:00,31.7,20.1,274.0
2024-07-03 15:00:00+00:00,33.2,20.0,246.0
2024-07-03 16:00:00+00:00,33.9,20.4,221.0
2024-07-03 17:00:00+00:00,31.9,19.3,196.0
2024-07-03 18:00:00+00:00,29.4,17.8,177.0
2024-07-03 19:00:00+00:00,28.0,17.0,166.0
2024-07-03 20:00:00+00:00,27.6,16.9,161.0
2024-07-03 21:00:00+00:00,26.4,16.2,157.0
2024-07-03 22:00:00+00:00,24.4,15.0,153.0
2024-07-03 23:00:00+00:00,21.5,13.2,151.0
2024-07-04 00:00:00+00:00,15.4,9.2,160.0
2024-07-04 01:00:00+00:00,13.9,8.4,169.0
2024-07-04 02:00:00+00:00,13.7,8.5,181.0
2024-07-04 03:00:00+00:00,14.9,9.5,195.0
2024-07-04 04:00:00+00:00,17.9,11.6,209.0
2024-07-04 05:00:00+00:00,20.0,13.0,226.0
2024-07-04 06:00:00+00:00,21.9,14.3,244.0
2024-07-04 07:00:00+00:00,23.6,15.5,268.0
2024-07-04 08:00:00+00:00,25.8,17.1,295.0
2024-07-04 09:00:00+00:00,28.3,18.9,315.0
2024-07-04 10:00:00+00:00,29.2,19.6,326.0
2024-07-04 11:00:00+00:00,28.6,19.2,329.0
2024-07-04 12:00:00+00:00,24.9,15.2,221.0
2024-07-04 13:00:00+00:00,23.7,14.6,222.0
2024-07-04 14:00:00+00:00,24.0,14.7,223.0
2024-07-04 15:00:00+00:00,26.4,15.8,220.0
2024-07-04 16:00:00+00:00,26.4,15.3,211.0
2024-07-04 17:00:00+00:00,25.8,14.4,199.0
2024-07-04 18:00:00+00:00,25.6,14.0,188.0
2024-07-04 19:00:00+00:00,25.0,13.6,181.0
2024-07-04 20:00:00+00:00,25.0,13.6,175.0
2024-07-04 21:00:00+00:00,24.7,13.5,172.0
2024-07-04 22:00:00+00:00,24.2,13.4,171.0
2024-07-04 23:00:00+00:00,22.8,12.9,173.0
2024-07-05 00:00:00+00:00,18.8,11.0,164.0
2024-07-05 01:00:00+00:00,17.5,10.8,170.0
2024-07-05 02:00:00+00:00,17.0,11.1,180.0
2024-07-05 03:00:00+00:00,17.8,12.0,193.0
2024-07-05 04:00:00+00:00,20.1,13.6,212.0
2024-07-05 05:00:00+00:00,23.3,15.6,236.0
2024-07-05 06:00:00+00:00,25.7,17.2,258.0
2024-07-05 07:00:00+00:00,27.1,18.1,279.0
2024-07-05 08:00:00+00:00,28.5,19.1,299.0
2024-07-05 09:00:00+00:00,28.8,19.5,314.0
2024-07-05 10:00:00+00:00,28.3,19.4,322.0
2024-07-05 11:00:00+00:00,27.6,19.0,325.0
2024-07-05 12:00:00+00:00,25.0,17.1,295.0
2024-07-05 13:00:00+00:00,23.8,16.2,290.0
2024-07-05 14:00:00+00:00,23.0,15.7,281.0
2024-07-05 15:00:00+00:00,23.9,15.7,269.0
2024-07-05 16:00:00+00:00,24.9,15.7,250.0
2024-07-05 17:00:00+00:00,25.4,15.5,228.0
2024-07-05 18:00:00+00:00,25.4,15.1,208.0
2024-07-05 19:00:00+00:00,24.4,14.6,193.0
2024-07-05 20:00:00+00:00,24.0,14.3,182.0
2024-07-05 21:00:00+00:00,24.0,14.5,175.0
2024-07-05 22:00:00+00:00,24.3,14.6,174.0
2024-07-05 23:00:00+00:00,24.2,14.5,179.0
2024-07-06 00:00:00+00:00,24.7,14.1,188.0
2024-07-06 01:00:00+00:00,23.7,13.7,198.0
2024-07-06 02:00:00+00:00,23.5,13.8,212.0
2024-07-06 03:00:00+00:00,24.7,15.0,234.0
2024-07-06 04:00:00+00:00,27.3,17.1,268.0
2024-07-06 05:00:00+00:00,28.9,18.4,308.0
2024-07-06 06:00:00+00:00,30.0,19.2,345.0
2024-07-06 07:00:00+00:00,31.8,20.6,377.0
2024-07-06 08:00:00+00:00,34.5,22.5,405.0
2024-07-06 09:00:00+00:00,36.1,23.6,419.0
2024-07-06 10:00:00+00:00,36.6,23.8,411.0
2024-07-06 11:00:00+00:00,35.6,23.0,389.0
