date,pm10,pm2_5,carbon_monoxide
2025-01-01 00:00:00+00:00,24.2,23.3,409.0
2025-01-01 01:00:00+00:00,29.7,29.1,508.0
2025-01-01 02:00:00+00:00,35.4,34.8,654.0
2025-01-01 03:00:00+00:00,38.2,37.7,787.0
2025-01-01 04:00:00+00:00,42.8,42.4,910.0
2025-01-01 05:00:00+00:00,47.8,47.4,1021.0
2025-01-01 06:00:00+00:00,51.6,51.1,1046.0
2025-01-01 07:00:00+00:00,53.3,52.9,928.0
2025-01-01 08:00:00+00:00,51.3,51.0,725.0
2025-01-01 09:00:00+00:00,45.8,45.4,543.0
2025-01-01 10:00:00+00:00,38.1,37.8,407.0
2025-01-01 11:00:00+00:00,29.4,29.2,292.0
2025-01-01 12:00:00+00:00,22.5,22.4,225.0
2025-01-01 13:00:00+00:00,18.6,18.5,229.0
2025-01-01 14:00:00+00:00,15.9,15.8,281.0
2025-01-01 15:00:00+00:00,17.0,16.9,341.0
2025-01-01 16:00:00+00:00,20.9,20.8,414.0
2025-01-01 17:00:00+00:00,25.3,25.2,496.0
2025-01-01 18:00:00+00:00,25.5,25.1,526.0
2025-01-01 19:00:00+00:00,22.1,21.4,456.0
2025-01-01 20:00:00+00:00,20.1,19.3,336.0
2025-01-01 21:00:00+00:00,19.6,18.8,254.0
2025-01-01 22:00:00+00:00,19.3,18.6,231.0
2025-01-01 23:00:00+00:00,19.6,19.0,247.0
2025-01-02 00:00:00+00:00,17.8,17.8,330.0
2025-01-02 01:00:00+00:00,22.9,22.9,528.0
2025-01-02 02:00:00+00:00,29.3,29.3,793.0
2025-01-02 03:00:00+00:00,37.3,37.1,1012.0
2025-01-02 04:00:00+00:00,47.8,47.7,1163.0
2025-01-02 05:00:00+00:00,55.1,54.9,1267.0
2025-01-02 06:00:00+00:00,56.9,56.7,1278.0
2025-01-02 07:00:00+00:00,55.4,55.1,1143.0
2025-01-02 08:00:00+00:00,51.6,51.2,914.0
2025-01-02 09:00:00+00:00,46.2,45.9,704.0
2025-01-02 10:00:00+00:00,40.4,40.0,536.0
2025-01-02 11:00:00+00:00,34.1,33.8,387.0
2025-01-02 12:00:00+00:00,21.6,21.5,293.0
2025-01-02 13:00:00+00:00,19.0,19.0,283.0
2025-01-02 14:00:00+00:00,17.6,17.6,328.0
2025-01-02 15:00:00+00:00,19.2,19.2,383.0
2025-01-02 16:00:00+00:00,22.6,22.5,452.0
2025-01-02 17:00:00+00:00,25.7,25.6,532.0
2025-01-02 18:00:00+00:00,28.9,28.6,559.0
2025-01-02 19:00:00+00:00,23.9,23.5,479.0
2025-01-02 20:00:00+00:00,21.9,21.6,347.0
2025-01-02 21:00:00+00:00,21.1,20.7,271.0
2025-01-02 22:00:00+00:00,21.9,21.2,291.0
2025-01-02 23:00:00+00:00,23.1,22.2,366.0
2025-01-03 00:00:00+00:00,23.7,23.5,484.0
2025-01-03 01:00:00+00:00,30.0,29.6,671.0
2025-01-03 02:00:00+00:00,38.3,37.7,899.0
2025-01-03 03:00:00+00:00,46.9,46.3,1076.0
2025-01-03 04:00:00+00:00,54.1,53.4,1164.0
2025-01-03 05:00:00+00:00,59.4,58.6,1201.0
2025-01-03 06:00:00+00:00,59.1,58.1,1201.0
2025-01-03 07:00:00+00:00,58.0,56.9,1166.0
2025-01-03 08:00:00+00:00,51.5,50.6,1095.0
2025-01-03 09:00:00+00:00,45.9,45.4,1000.0
2025-01-03 10:00:00+00:00,42.1,41.8,863.0
2025-01-03 11:00:00+00:00,39.1,38.8,701.0
2025-01-03 12:00:00+00:00,24.7,24.3,579.0
2025-01-03 13:00:00+00:00,23.0,22.6,519.0
2025-01-03 14:00:00+00:00,22.5,22.1,500.0
2025-01-03 15:00:00+00:00,27.7,27.4,514.0
2025-01-03 16:00:00+00:00,38.4,38.1,596.0
2025-01-03 17:00:00+00:00,42.8,42.3,713.0
2025-01-03 18:00:00+00:00,38.9,37.8,759.0
2025-01-03 19:00:00+00:00,31.9,30.2,663.0
2025-01-03 20:00:00+00:00,28.3,26.1,496.0
2025-01-03 21:00:00+00:00,27.0,24.4,368.0
2025-01-03 22:00:00+00:00,26.6,23.7,326.0
2025-01-03 23:00:00+00:00,27.2,24.2,324.0
2025-01-04 00:00:00+00:00,31.8,29.5,333.0
2025-01-04 01:00:00+00:00,37.6,35.4,339.0
2025-01-04 02:00:00+00:00,33.2,31.1,356.0
2025-01-04 03:00:00+00:00,31.4,29.2,393.0
2025-01-04 04:00:00+00:00,42.0,39.5,467.0
2025-01-04 05:00:00+00:00,52.0,49.6,562.0
2025-01-04 06:00:00+00:00,56.6,54.2,635.0
2025-01-04 07:00:00+00:00,60.5,58.3,672.0
2025-01-04 08:00:00+00:00,61.7,59.6,688.0
2025-01-04 09:00:00+00:00,57.7,56.5,681.0
2025-01-04 10:00:00+00:00,54.2,53.3,652.0
2025-01-04 11:00:00+00:00,50.4,49.6,600.0
2025-01-04 12:00:00+00:00,45.4,45.1,526.0
2025-01-04 13:00:00+00:00,43.9,43.4,408.0
2025-01-04 14:00:00+00:00,43.1,42.6,267.0
2025-01-04 15:00:00+00:00,47.1,46.6,169.0
2025-01-04 16:00:00+00:00,54.5,54.0,146.0
2025-01-04 17:00:00+00:00,49.2,48.8,165.0
2025-01-04 18:00:00+00:00,37.6,36.6,191.0
2025-01-04 19:00:00+00:00,31.0,29.9,219.0
2025-01-04 20:00:00+00:00,26.5,25.6,253.0
2025-01-04 21:00:00+00:00,22.7,21.9,273.0
2025-01-04 22:00:00+00:00,20.7,20.0,256.0
2025-01-04 23:00:00+00:00,19.1,18.5,226.0
2025-01-05 00:00:00+00:00,20.0,19.7,230.0
2025-01-05 01:00:00+00:00,21.4,21.2,303.0
2025-01-05 02:00:00+00:00,22.2,22.1,410.0
2025-01-05 03:00:00+00:00,20.0,19.9,500.0
2025-01-05 04:00:00+00:00,18.2,18.2,568.0
2025-01-05 05:00:00+00:00,19.6,19.6,619.0
2025-01-05 06:00:00+00:00,21.9,21.8,615.0
2025-01-05 07:00:00+00:00,23.3,23.3,513.0
2025-01-05 08:00:00+00:00,22.2,22.1,356.0
2025-01-05 09:00:00+00:00,20.1,20.0,237.0
2025-01-05 10:00:00+00:00,17.5,17.4,191.0
